INFO 2018-08-13 18:22:39,510 - Running all the ml models on all the contrast
DEBUG 2018-08-13 18:22:39,649 - Running the svm_kernel model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:39,673 - Running the naive_bayes model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:39,819 - Running the decision_tree model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:39,832 - Running the rfc model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,080 - Running the svm_kernel model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,097 - Running the naive_bayes model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,104 - Running the decision_tree model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,115 - Running the rfc model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,348 - Running the svm_kernel model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,359 - Running the naive_bayes model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,365 - Running the decision_tree model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,377 - Running the rfc model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,635 - Running the svm_kernel model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,650 - Running the naive_bayes model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,655 - Running the decision_tree model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,665 - Running the rfc model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,908 - Running the svm_kernel model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,920 - Running the naive_bayes model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,926 - Running the decision_tree model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:40,936 - Running the rfc model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:41,194 - Running the svm_kernel model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:41,207 - Running the naive_bayes model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:41,213 - Running the decision_tree model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:41,226 - Running the rfc model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:41,573 - Running the svm_kernel model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:41,596 - Running the naive_bayes model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:41,602 - Running the decision_tree model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:41,620 - Running the rfc model of the 0 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:41,953 - Running the svm_kernel model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:42,005 - Running the naive_bayes model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:42,020 - Running the decision_tree model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:42,043 - Running the rfc model of the 1 th iteration for Faces_con_0001 contrast
DEBUG 2018-08-13 18:22:42,795 - Running the svm_kernel model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:42,813 - Running the naive_bayes model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:42,820 - Running the decision_tree model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:42,835 - Running the rfc model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:43,274 - Running the svm_kernel model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:43,291 - Running the naive_bayes model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:43,299 - Running the decision_tree model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:43,311 - Running the rfc model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:43,605 - Running the svm_kernel model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:43,627 - Running the naive_bayes model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:43,635 - Running the decision_tree model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:43,657 - Running the rfc model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:43,969 - Running the svm_kernel model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:43,989 - Running the naive_bayes model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:43,995 - Running the decision_tree model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:44,014 - Running the rfc model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:44,326 - Running the svm_kernel model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:44,352 - Running the naive_bayes model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:44,358 - Running the decision_tree model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:44,373 - Running the rfc model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:44,678 - Running the svm_kernel model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:44,699 - Running the naive_bayes model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:44,705 - Running the decision_tree model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:44,720 - Running the rfc model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,109 - Running the svm_kernel model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,155 - Running the naive_bayes model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,161 - Running the decision_tree model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,187 - Running the rfc model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,594 - Running the svm_kernel model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,636 - Running the naive_bayes model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,642 - Running the decision_tree model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,667 - Running the rfc model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:46,216 - Running the svm_kernel model of the 0 th iteration for Faces_con_0002 contrast
